procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id  wa st
 7  0 710948 102416  13852 929756    6   50   253    95  247  368  4  1 95   0  0
 1  0 710692  80784  13884 937524   16    0   140   240 2736 4756 11  3 86   0  0
 0  0 717628  80312  13084 902808   32 7064   259  7652 4511 6727 20  3 77   0  0
 7  0 721228  75624  12988 886780    0 3548     0  3548 4378 7113 19  3 79   0  0
 0  0 724564  93448  12860 874396   16 3224    16  3224 2478 2822 10  2 88   0  0
 0  0 724564  84044  12860 874348    0    0     0     0 1241  966  2  0 98   0  0
 0  0 724564  73028  12860 874348    4    0     4     0  948  838  2  0 97   0  0
 0  0 728940  79764  12192 858536    0 4240     0  4304 1176  932  2  1 97   0  0
 0  0 729452  86576  11896 851320    0  460     0   460  951  807  1  1 98   0  0
 0  0 729452  83204  11896 851316    0    0    68     0 1056 1009  2  1 97   0  0
 1  0 730220  80388  11872 844740    0  760    16   760  976  864  2  1 98   0  0
 0  0 730220 175984  11872 844740    0    0     0     0  878  805  2  1 98   0  0
 0  0 730220 172080  11896 847132    0    0  2872   216  994  963  1  0 99   0  0
 0  0 730220 179892  11896 839520    0    0     0     0  711  574  0  0 99   0  0
 0  0 730220 178632  11896 839520    0    0     0     0  918  829  1  0 99   0  0
 0  0 730220 190280  11896 839520    0    0     0     0  712  620  1  0 99   0  0
 0  0 730220 190028  11896 837984    0    0     0     0  767  478  0  0 100  0  0
 
From the results of the table we can see high relatively high swap, which usually means that there is a lot of data being written to/read from the main memory. Swapping is used to avoid RAM bottleneck, but still if there is too much data being written/read this can cause and error, and you device may start lagging.
